# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
    2       1.568732787529e-10       7.523924190403e-15       4.872487559902e-16       4.872487559902e-15       4.849819063563e-13       3.684387109566e-16       8.824640681557e-09       4.854336140008e-10      -2.509271263095e-12 
    3       1.468366169646e-10       1.265343517005e-14       9.744975119803e-16       9.744975119803e-15       5.987873916945e-13       4.355519384530e-16       5.420117234910e-09       3.460039303630e-10      -2.206942739688e-12 
    4       1.379288315168e-10       1.475027903622e-14       1.624162519967e-15       1.624162519967e-14       6.160169375396e-13       4.382201695255e-16       3.766620993101e-09       2.633883541296e-10      -1.760438348776e-12 
    5       1.310650081363e-10       1.364743666663e-14       2.436243779951e-15       2.436243779951e-14       5.755905003834e-13       3.941330806997e-16       2.811308770948e-09       2.090110999430e-10      -1.306633359986e-12 
    6       1.260463906696e-10       1.055423888177e-14       3.410741291931e-15       3.410741291931e-14       5.059120158854e-13       3.258156588747e-16       2.196130739346e-09       1.706882871284e-10      -8.928113776171e-13 
    7       1.225392335477e-10       7.025246480009e-15       4.547655055908e-15       4.547655055908e-14       4.265432711828e-13       2.524597502678e-16       1.771993978700e-09       1.423933048300e-10      -5.430821340586e-13 
    8       1.202056009590e-10       4.179449838902e-15       5.846985071882e-15       5.846985071882e-14       3.492533647198e-13       1.868015275529e-16       1.464682835399e-09       1.207625682058e-10      -2.682035208180e-13 
    9       1.187901198713e-10       2.435080678617e-15       7.308731339853e-15       7.308731339853e-14       2.810548278652e-13       1.352355087418e-16       1.233354770149e-09       1.037767847766e-10      -6.979745529210e-14 
   10       1.180725821148e-10       1.643977143413e-15       8.932893859820e-15       8.932893859820e-14       2.259172443264e-13       9.936417129822e-17       1.054014097346e-09       9.019095831950e-11       5.746387494108e-14 
   11       1.179087963949e-10       1.404335224840e-15       1.071947263178e-14       1.071947263178e-13       1.854931208781e-13       7.782619026790e-17       8.886911125805e-10       7.947049606087e-11       1.231685210592e-13 
   12       1.181878644034e-10       1.343545586121e-15       1.266846765574e-14       1.266846765574e-13       1.595300083308e-13       6.786876041403e-17       7.765297026062e-10       7.024880586273e-11       1.419379407832e-13 
   13       1.187885548036e-10       1.260366362401e-15       1.477987893170e-14       1.477987893170e-13       1.462962323695e-13       6.640249710911e-17       6.844583248385e-10       6.271584346264e-11       1.275303053799e-13 
   14       1.196109671519e-10       1.123501816526e-15       1.705370645966e-14       1.705370645966e-13       1.432186700681e-13       7.070915069172e-17       6.078527256733e-10       5.618538682970e-11       9.266323499495e-14 
   15       1.206605471699e-10       9.904368352318e-16       1.948995023961e-14       1.948995023961e-13       1.473946256629e-13       7.861893442493e-17       5.433714234817e-10       5.072987331579e-11       4.955464115461e-14 
   16       1.218974495233e-10       9.210678833802e-16       2.208861027155e-14       2.208861027155e-13       1.558334692096e-13       8.863472726838e-17       4.885474477465e-10       4.610590740774e-11       7.283705036011e-15 
   17       1.232391177433e-10       9.323001177829e-16       2.484968655550e-14       2.484968655550e-13       1.659996925338e-13       9.980989401224e-17       4.415173631325e-10       4.211350246099e-11      -2.781853241088e-14 
   18       1.246886679169e-10       9.967616104104e-16       2.777317909144e-14       2.777317909144e-13       1.761189065614e-13       1.115951215668e-16       4.006971471097e-10       3.856700778048e-11      -5.220882834830e-14 
   19       1.262550248004e-10       1.081893592092e-15       3.085908787938e-14       3.085908787938e-13       1.852284453766e-13       1.237765504199e-16       3.654392581804e-10       3.543655623583e-11      -6.499330950004e-14 
   20       1.278816144959e-10       1.154344157077e-15       3.410741291931e-14       3.410741291931e-13       1.925632096475e-13       1.362165212376e-16       3.343851337336e-10       3.266893272258e-11      -6.698110480243e-14 
   21       1.295811462725e-10       1.217147544024e-15       3.751815421124e-14       3.751815421124e-13       1.981979978946e-13       1.488837982292e-16       3.070473557600e-10       3.022031562945e-11      -6.030661689409e-14 
   22       1.313531023212e-10       1.288484300593e-15       4.109131175517e-14       4.109131175517e-13       2.025931734316e-13       1.617922079998e-16       2.827722282947e-10       2.801002201825e-11      -4.832050124717e-14 
   23       1.331870120148e-10       1.387559308318e-15       4.482688555110e-14       4.482688555110e-13       2.062268362296e-13       1.749369189457e-16       2.612262466961e-10       2.600767960186e-11      -3.397484446348e-14 
   24       1.350503347913e-10       1.532706934660e-15       4.872487559902e-14       4.872487559902e-13       2.096506835796e-13       1.883137093752e-16       2.419115822193e-10       2.418028725870e-11      -2.037424371772e-14 
   25       1.369606048189e-10       1.724312488606e-15       5.278528189894e-14       5.278528189894e-13       2.133310360314e-13       2.019147783672e-16       2.246013554829e-10       2.253680471971e-11      -9.358776659337e-15 
   26       1.389303773719e-10       1.955425452466e-15       5.700810445085e-14       5.700810445085e-13       2.176716691069e-13       2.157361140049e-16       2.089825830809e-10       2.107880386687e-11      -2.260927544036e-15 
   27       1.409408883879e-10       2.219684034882e-15       6.139334325476e-14       6.139334325476e-13       2.227109775344e-13       2.297742962295e-16       1.948680162998e-10       1.977271515140e-11       7.232296517439e-16 
   28       1.429560880547e-10       2.510730003620e-15       6.594099831067e-14       6.594099831067e-13       2.283006664446e-13       2.440281772150e-16       1.820143777924e-10       1.856720673551e-11      -2.385259945917e-17 
   29       1.449862281825e-10       2.828068250252e-15       7.065106961858e-14       7.065106961858e-13       2.341438489898e-13       2.584887263048e-16       1.703561090127e-10       1.745806835390e-11      -3.698790020568e-15 
   30       1.470457489302e-10       3.172909973854e-15       7.552355717848e-14       7.552355717848e-13       2.398023405614e-13       2.731467901685e-16       1.597681189488e-10       1.644713177095e-11      -9.076544301598e-15 
   31       1.491381877557e-10       3.545849773102e-15       8.055846099038e-14       8.055846099038e-13       2.447568465474e-13       2.879939452147e-16       1.500345458265e-10       1.552691786289e-11      -1.472128053198e-14 
   32       1.512668564111e-10       3.944773915436e-15       8.575578105427e-14       8.575578105427e-13       2.486217959964e-13       3.030138763026e-16       1.411052002447e-10       1.468816136481e-11      -1.976999056727e-14 
   33       1.534252985096e-10       4.366068289177e-15       9.111551737016e-14       9.111551737016e-13       2.509998000242e-13       3.181878103404e-16       1.329170108602e-10       1.391318019932e-11      -2.341567511935e-14 
   34       1.556005051439e-10       4.806616172315e-15       9.663766993805e-14       9.663766993805e-13       2.515099112646e-13       3.334968131547e-16       1.253554769330e-10       1.318037081614e-11      -2.491765068900e-14 
   35       1.577992807493e-10       5.269113187092e-15       1.023222387579e-13       1.023222387579e-12       2.500961000484e-13       3.489221546918e-16       1.183819568997e-10       1.249033181558e-11      -2.437585899077e-14 
   36       1.600293526794e-10       5.758680606887e-15       1.081692238298e-13       1.081692238298e-12       2.468293035685e-13       3.644450259540e-16       1.119405661863e-10       1.184801274272e-11      -2.223814070662e-14 
   37       1.622928345551e-10       6.280606155072e-15       1.141786251537e-13       1.141786251537e-12       2.418215933250e-13       3.800470117484e-16       1.059475406627e-10       1.125544125068e-11      -1.905618252498e-14 
   38       1.645904861137e-10       6.837125441892e-15       1.203504427296e-13       1.203504427296e-12       2.351976153323e-13       3.957121261135e-16       1.003874321652e-10       1.071147338200e-11      -1.530731481317e-14 
   39       1.669175668906e-10       7.429621449981e-15       1.266846765574e-13       1.266846765574e-12       2.271192256079e-13       4.114254641749e-16       9.524262932216e-11       1.021141219391e-11      -1.152887153730e-14 
   40       1.692617686409e-10       8.059484204674e-15       1.331813266373e-13       1.331813266373e-12       2.177969711385e-13       4.271726907159e-16       9.046409493383e-11       9.746658940379e-12      -8.375257474006e-15 
   41       1.716089853450e-10       8.727866565905e-15       1.398403929692e-13       1.398403929692e-12       2.074304380500e-13       4.429384774347e-16       8.598845804937e-11       9.307448781481e-12      -6.453300377981e-15 
   42       1.739646227935e-10       9.434860221918e-15       1.466618755530e-13       1.466618755530e-12       1.959987880965e-13       4.587011416267e-16       8.180257232248e-11       8.892909238473e-12      -5.746416961300e-15 
   43       1.763380073357e-10       1.018004849239e-14       1.536457743889e-13       1.536457743889e-12       1.834070432966e-13       4.744363050994e-16       7.789535925311e-11       8.503729796272e-12      -6.015196220526e-15 
   44       1.787362180455e-10       1.096270753381e-14       1.607920894768e-13       1.607920894768e-12       1.695415226700e-13       4.901182495790e-16       7.423843564479e-11       8.139272121453e-12      -6.948633705072e-15 
   45       1.811638499627e-10       1.178207569279e-14       1.681008208166e-13       1.681008208166e-12       1.542752542301e-13       5.057213757596e-16       7.079625844461e-11       7.797997413796e-12      -8.208049744285e-15 
   46       1.836228749434e-10       1.263830101562e-14       1.755719684085e-13       1.755719684085e-12       1.374892992126e-13       5.212252977684e-16       6.756342265580e-11       7.479169877317e-12      -9.585316002635e-15 
   47       1.861122660131e-10       1.353174566146e-14       1.832055322523e-13       1.832055322523e-12       1.190555227458e-13       5.366111294266e-16       6.453617040715e-11       7.181468297203e-12      -1.088412580270e-14 
   48       1.886276836962e-10       1.446272090859e-14       1.910015123481e-13       1.910015123481e-12       9.882946794170e-14       5.518600788059e-16       6.170114077573e-11       6.902407884567e-12      -1.187384414132e-14 
   49       1.911612002213e-10       1.543148530090e-14       1.989599086960e-13       1.989599086960e-12       7.664940430013e-14       5.669534534094e-16       5.903465562532e-11       6.638257284887e-12      -1.228771196262e-14 
   50       1.937046017765e-10       1.643824598720e-14       2.070807212958e-13       2.070807212958e-12       5.238097454020e-14       5.818722162558e-16       5.650985269152e-11       6.385121168312e-12      -1.190810040021e-14 
   51       1.962609918442e-10       1.748316746827e-14       2.153639501477e-13       2.153639501477e-12       2.606762978307e-14       5.965955000588e-16       5.412202427904e-11       6.142726969928e-12      -1.085372094766e-14 
   52       1.988358607316e-10       1.856636202011e-14       2.238095952515e-13       2.238095952515e-12      -2.180616592778e-15       6.111016986938e-16       5.186892199537e-11       5.911522561325e-12      -9.367271218021e-15 
   53       2.014336779282e-10       1.968788504570e-14       2.324176566073e-13       2.324176566073e-12      -3.222805258272e-14       6.253688654723e-16       4.974317394053e-11       5.691573032070e-12      -7.737444891069e-15 
   54       2.040577846902e-10       2.084773337165e-14       2.411881342151e-13       2.411881342151e-12      -6.391207334347e-14       6.393746971879e-16       4.773193982773e-11       5.482532549055e-12      -6.301232455450e-15 
   55       2.067104974311e-10       2.204585817479e-14       2.501210280750e-13       2.501210280750e-12      -9.708198470586e-14       6.530978137910e-16       4.582082979942e-11       5.283841202052e-12      -5.365039445035e-15 
   56       2.093936940537e-10       2.328221142437e-14       2.592163381868e-13       2.592163381868e-12      -1.317294378397e-13       6.665220062253e-16       4.400759098192e-11       5.095437272231e-12      -4.939822934537e-15 
   57       2.121081851278e-10       2.455670799366e-14       2.684740645506e-13       2.684740645506e-12      -1.678883056028e-13       6.796330159022e-16       4.229121688156e-11       4.917172615870e-12      -4.944187193947e-15 
   58       2.148534188002e-10       2.586921093224e-14       2.778942071664e-13       2.778942071664e-12      -2.055978799644e-13       6.924173653040e-16       4.066780670907e-11       4.748584227531e-12      -5.278957947318e-15 
   59       2.176273815918e-10       2.721953033276e-14       2.874767660342e-13       2.874767660342e-12      -2.449032361455e-13       7.048623925096e-16       3.913038661820e-11       4.588874865108e-12      -5.826320160186e-15 
   60       2.204264991943e-10       2.860742219756e-14       2.972217411540e-13       2.972217411540e-12      -2.858555967591e-13       7.169562857209e-16       3.766873094446e-11       4.436893674867e-12      -6.448955826998e-15 
   61       2.232471793895e-10       3.003255377445e-14       3.071291325258e-13       3.071291325258e-12      -3.285020293371e-13       7.286880670510e-16       3.627220226368e-11       4.291447040544e-12      -7.018306968832e-15 
   62       2.260910699317e-10       3.149439303529e-14       3.171989401496e-13       3.171989401496e-12      -3.728510128287e-13       7.400474615275e-16       3.493942091214e-11       4.152356496706e-12      -7.508728451128e-15 
   63       2.289608101864e-10       3.299229226569e-14       3.274311640254e-13       3.274311640254e-12      -4.188997531321e-13       7.510250598190e-16       3.367045855643e-11       4.019604974867e-12      -7.923034943622e-15 
   64       2.318584469845e-10       3.452551725327e-14       3.378258041532e-13       3.378258041532e-12      -4.666441928773e-13       7.616123986428e-16       3.246392956332e-11       3.893018812387e-12      -8.265301262179e-15 
   65       2.347853875216e-10       3.609324509042e-14       3.483828605330e-13       3.483828605330e-12      -5.160790371235e-13       7.718019936813e-16       3.131690802328e-11       3.772258855273e-12      -8.540924277115e-15 
   66       2.377423522588e-10       3.769456197711e-14       3.591023331648e-13       3.591023331648e-12      -5.671977790555e-13       7.815873724979e-16       3.022484477406e-11       3.656811560979e-12      -8.756684821522e-15 
   67       2.407293278231e-10       3.932846102366e-14       3.699842220485e-13       3.699842220485e-12      -6.199927256807e-13       7.909631074537e-16       2.918148442422e-11       3.545980101215e-12      -8.920809599588e-15 
   68       2.437460685624e-10       4.099393456199e-14       3.810285271843e-13       3.810285271843e-12      -6.744536277220e-13       7.999245306208e-16       2.818053620424e-11       3.439077918879e-12      -9.042321344843e-15 
   69       2.467938245086e-10       4.269027771114e-14       3.922352485721e-13       3.922352485721e-12      -7.305631894782e-13       8.084667378675e-16       2.722126513787e-11       3.336074829549e-12      -9.128798007650e-15 
   70       2.498738805421e-10       4.441684265754e-14       4.036043862119e-13       4.036043862119e-12      -7.883006911257e-13       8.165854411796e-16       2.630388993217e-11       3.237066455371e-12      -9.188268648693e-15 
   71       2.529870062410e-10       4.617294980493e-14       4.151359401036e-13       4.151359401036e-12      -8.476432941999e-13       8.242772931469e-16       2.542789195203e-11       3.142079701751e-12      -9.229927936568e-15 
   72       2.561334228139e-10       4.795788799422e-14       4.268299102474e-13       4.268299102474e-12      -9.085660315942e-13       8.315399117463e-16       2.459197709867e-11       3.051069038017e-12      -9.264179852775e-15 
   73       2.593127700316e-10       4.977091472338e-14       4.386862966432e-13       4.386862966432e-12      -9.710417975578e-13       8.383719051249e-16       2.379403768811e-11       2.963912778072e-12      -9.302681396713e-15 
