# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
    2       1.568737682768e-10       7.524164203105e-15       4.872487559902e-16       4.872487559902e-15       4.849819011877e-13       3.686787236270e-16       8.824640681557e-09       4.854336140008e-10      -2.509271263095e-12 
    3       1.468375936953e-10       1.265391543335e-14       9.744975119803e-16       9.744975119803e-15       5.987873687048e-13       4.360322014380e-16       5.420117234910e-09       3.460039303630e-10      -2.206942739688e-12 
    4       1.379304543119e-10       1.475107999547e-14       1.624162519967e-15       1.624162519967e-14       6.160168716502e-13       4.390211272479e-16       3.766620993101e-09       2.633883541296e-10      -1.760438348776e-12 
    5       1.310674329276e-10       1.364863906177e-14       2.436243779951e-15       2.436243779951e-14       5.755903507566e-13       3.953354706098e-16       2.811308770948e-09       2.090110999430e-10      -1.306633359986e-12 
    6       1.260497698686e-10       1.055592380210e-14       3.410741291931e-15       3.410741291931e-14       5.059117227818e-13       3.275005650030e-16       2.196130739346e-09       1.706882871284e-10      -8.928113776171e-13 
    7       1.225437155344e-10       7.027495407386e-15       4.547655055908e-15       4.547655055908e-14       4.265427532930e-13       2.547086448161e-16       1.771993978700e-09       1.423933048300e-10      -5.430821340586e-13 
    8       1.202113296652e-10       4.182344677961e-15       5.846985071882e-15       5.846985071882e-14       3.492525170224e-13       1.896962992473e-16       1.464682835399e-09       1.207625682058e-10      -2.682035208180e-13 
    9       1.187972344657e-10       2.438703772968e-15       7.308731339853e-15       7.308731339853e-14       2.810535200394e-13       1.388584771980e-16       1.233354770149e-09       1.037767847766e-10      -6.979745529210e-14 
   10       1.180812167926e-10       1.648411277392e-15       8.932893859820e-15       8.932893859820e-14       2.259153197237e-13       1.037980872099e-16       1.054014097346e-09       9.019095831950e-11       5.746387494108e-14 
   11       1.179190802733e-10       1.409663610794e-15       1.071947263178e-14       1.071947263178e-13       1.854903960352e-13       8.315422179347e-17       8.886911125805e-10       7.947049606087e-11       1.231685210592e-13 
   12       1.181999215190e-10       1.349851837698e-15       1.266846765574e-14       1.266846765574e-13       1.595262729857e-13       7.417446668443e-17       7.765297026062e-10       7.024880586273e-11       1.419379407832e-13 
   13       1.188025042061e-10       1.267734454815e-15       1.477987893170e-14       1.477987893170e-13       1.462912499243e-13       7.376979028697e-17       6.844583248385e-10       6.271584346264e-11       1.275303053799e-13 
   14       1.196269230841e-10       1.132016035150e-15       1.705370645966e-14       1.705370645966e-13       1.432121784242e-13       7.922224845987e-17       6.078527256733e-10       5.618538682970e-11       9.266323499495e-14 
   15       1.206786193225e-10       1.000181714278e-15       1.948995023961e-14       1.948995023961e-13       1.473863383465e-13       8.836230515011e-17       5.433714234817e-10       5.072987331579e-11       4.955464115461e-14 
   16       1.219177433501e-10       9.321281367168e-16       2.208861027155e-14       2.208861027155e-13       1.558230766953e-13       9.969303036082e-17       4.885474477465e-10       4.610590740774e-11       7.283705036011e-15 
